cod;nome;período;valor
41;PR;2008;3445
35;SP;2008;6332
33;RJ;2008;5662
32;ES;2008;1947
31;MG;2008;3889
29;BA;2008;4819
28;SE;2008;555
27;AL;2008;1887
26;PE;2008;4446
25;PB;2008;1029
24;RN;2008;714
23;CE;2008;2019
22;PI;2008;361
21;MA;2008;1277
17;TO;2008;237
16;AP;2008;210
15;PA;2008;2860
14;RR;2008;105
13;AM;2008;830
12;AC;2008;133
11;RO;2008;480
50;MS;2008;699
43;RS;2008;2380
52;GO;2008;1792
31;MG;2009;3742
11;RO;2009;538
12;AC;2009;153
13;AM;2009;916
14;RR;2009;118
15;PA;2009;2989
16;AP;2009;190
17;TO;2009;289
21;MA;2009;1398
22;PI;2009;385
23;CE;2009;2165
24;RN;2009;800
25;PB;2009;1263
26;PE;2009;3963
27;AL;2009;1873
28;SE;2009;653
29;BA;2009;5432
32;ES;2009;1985
33;RJ;2009;5365
35;SP;2009;6557
41;PR;2009;3698
42;SC;2009;820
43;RS;2009;2242
50;MS;2009;725
51;MT;2009;1000
52;GO;2009;1902
53;DF;2009;882
31;MG;2010;3646
32;ES;2010;1792
33;RJ;2010;5667
35;SP;2010;6039
41;PR;2010;3586
42;SC;2010;823
43;RS;2010;2085
50;MS;2010;656
51;MT;2010;972
53;DF;2010;786
52;GO;2010;1979
11;RO;2010;546
12;AC;2010;165
13;AM;2010;1082
14;RR;2010;121
15;PA;2010;3521
16;AP;2010;260
17;TO;2010;327
21;MA;2010;1519
22;PI;2010;411
23;CE;2010;2688
24;RN;2010;810
25;PB;2010;1455
26;PE;2010;3473
27;AL;2010;2087
28;SE;2010;676
29;BA;2010;5844
24;RN;2011;1054
23;CE;2011;2792
22;PI;2011;440
21;MA;2011;1591
17;TO;2011;361
16;AP;2011;209
15;PA;2011;3073
14;RR;2011;95
13;AM;2011;1292
12;AC;2011;164
11;RO;2011;450
53;DF;2011;902
52;GO;2011;2272
51;MT;2011;1009
50;MS;2011;673
43;RS;2011;2077
42;SC;2011;811
41;PR;2011;3376
35;SP;2011;5842
33;RJ;2011;4781
32;ES;2011;1672
31;MG;2011;4262
29;BA;2011;5549
28;SE;2011;731
27;AL;2011;2244
26;PE;2011;3471
25;PB;2011;1614
32;ES;2012;1667
43;RS;2012;2382
42;SC;2012;821
41;PR;2012;3489
35;SP;2012;6566
33;RJ;2012;4772
50;MS;2012;683
51;MT;2012;1074
52;GO;2012;2793
53;DF;2012;954
31;MG;2012;4562
29;BA;2012;6148
28;SE;2012;879
27;AL;2012;2046
26;PE;2012;3327
25;PB;2012;1525
24;RN;2012;1124
23;CE;2012;3841
22;PI;2012;525
21;MA;2012;1777
17;TO;2012;379
16;AP;2012;253
15;PA;2012;3236
14;RR;2012;144
13;AM;2012;1344
12;AC;2012;208
11;RO;2012;526
29;BA;2013;5694
31;MG;2013;4717
32;ES;2013;1622
33;RJ;2013;5111
35;SP;2013;6035
41;PR;2013;2936
42;SC;2013;789
43;RS;2013;2322
50;MS;2013;630
51;MT;2013;1158
52;GO;2013;2975
53;DF;2013;837
11;RO;2013;483
12;AC;2013;234
13;AM;2013;1191
14;RR;2013;214
15;PA;2013;3405
16;AP;2013;225
17;TO;2013;349
21;MA;2013;2163
22;PI;2013;598
23;CE;2013;4473
24;RN;2013;1447
25;PB;2013;1551
26;PE;2013;3124
27;AL;2013;2148
28;SE;2013;965
11;RO;2014;578
53;DF;2014;843
52;GO;2014;2887
51;MT;2014;1358
50;MS;2014;700
43;RS;2014;2724
42;SC;2014;905
41;PR;2014;2980
35;SP;2014;6185
33;RJ;2014;5718
32;ES;2014;1609
31;MG;2014;4724
29;BA;2014;6052
28;SE;2014;1097
27;AL;2014;2085
26;PE;2014;3358
25;PB;2014;1551
24;RN;2014;1602
23;CE;2014;4626
22;PI;2014;717
21;MA;2014;2462
17;TO;2014;381
16;AP;2014;256
15;PA;2014;3446
14;RR;2014;158
13;AM;2014;1240
12;AC;2014;232
25;PB;2015;1522
11;RO;2015;600
12;AC;2015;217
13;AM;2015;1472
14;RR;2015;203
15;PA;2015;3675
16;AP;2015;293
17;TO;2015;503
21;MA;2015;2438
22;PI;2015;650
23;CE;2015;4163
24;RN;2015;1545
26;PE;2015;3847
27;AL;2015;1748
28;SE;2015;1303
29;BA;2015;6012
31;MG;2015;4532
32;ES;2015;1450
33;RJ;2015;5067
35;SP;2015;5427
41;PR;2015;2936
42;SC;2015;957
43;RS;2015;2944
50;MS;2015;634
51;MT;2015;1203
52;GO;2015;2997
53;DF;2015;742
29;BA;2016;7171
52;GO;2016;3036
51;MT;2016;1180
50;MS;2016;671
43;RS;2016;3225
42;SC;2016;984
41;PR;2016;3080
35;SP;2016;4870
33;RJ;2016;6053
32;ES;2016;1270
31;MG;2016;4622
28;SE;2016;1465
27;AL;2016;1820
26;PE;2016;4447
21;MA;2016;2408
22;PI;2016;701
23;CE;2016;3642
24;RN;2016;1854
11;RO;2016;703
12;AC;2016;363
13;AM;2016;1452
14;RR;2016;204
15;PA;2016;4223
16;AP;2016;381
17;TO;2016;577
25;PB;2016;1355
53;DF;2016;760
29;BA;2017;7487
26;PE;2017;5419
50;MS;2017;659
51;MT;2017;1102
24;RN;2017;2203
23;CE;2017;5433
22;PI;2017;626
52;GO;2017;2901
21;MA;2017;2180
17;TO;2017;557
16;AP;2017;383
15;PA;2017;4575
27;AL;2017;1813
14;RR;2017;248
13;AM;2017;1674
12;AC;2017;516
11;RO;2017;554
28;SE;2017;1313
43;RS;2017;3316
42;SC;2017;1066
53;DF;2017;610
25;PB;2017;1341
41;PR;2017;2759
35;SP;2017;4631
33;RJ;2017;6416
32;ES;2017;1521
31;MG;2017;4299
29;BA;2018;6787
27;AL;2018;1441
26;PE;2018;4190
25;PB;2018;1244
24;RN;2018;1825
23;CE;2018;4900
22;PI;2018;619
21;MA;2018;1982
17;TO;2018;570
16;AP;2018;426
15;PA;2018;4528
14;RR;2018;414
13;AM;2018;1542
12;AC;2018;409
11;RO;2018;476
53;DF;2018;530
52;GO;2018;2675
51;MT;2018;989
50;MS;2018;572
43;RS;2018;2699
42;SC;2018;843
41;PR;2018;2443
35;SP;2018;3727
33;RJ;2018;6455
32;ES;2018;1165
31;MG;2018;3372
28;SE;2018;1133
53;DF;2019;480
52;GO;2019;2253
26;PE;2019;3474
25;PB;2019;953
24;RN;2019;1346
23;CE;2019;2417
22;PI;2019;569
21;MA;2019;1704
17;TO;2019;456
16;AP;2019;361
15;PA;2019;3405
14;RR;2019;234
13;AM;2019;1592
12;AC;2019;325
11;RO;2019;447
51;MT;2019;895
50;MS;2019;491
43;RS;2019;2184
42;SC;2019;767
41;PR;2019;2095
35;SP;2019;3361
33;RJ;2019;3552
32;ES;2019;1043
31;MG;2019;2893
29;BA;2019;6118
28;SE;2019;973
27;AL;2019;1115
